"type","modified","language","rights","rightsHolder","accessRights","bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","associatedMedia","associatedReferences","associatedOccurrences","associatedSequences","associatedTaxa","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","SubPhylum","Subclass","SuperOrder","Suborder","InfraOrder","SuperFamily","Subfamily"
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"90",,,,,,,,"Avahi meridionalis","Avahi meridionalis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"meridionalis",,"species",,"Zaramody et al., 2006",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"91",,,,,,,,"Avahi occidentalis","Avahi occidentalis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"occidentalis",,"species",,"(Lorenz von liburnau, 1898)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"92",,,,,,,,"Avahi cleesei","Avahi cleesei",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"cleesei",,"species",,"Thalmann and Geissmann, 2005",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"93",,,,,,,,"Avahi unicolor","Avahi unicolor",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Avahi","Animalia","Chordata","Mammalia","Primates","Indridae","Avahi",,"unicolor",,"species",,"Thalmann and Geissmann, 2005",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"94",,,,,,,,"Propithecus verreauxi","Propithecus verreauxi",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"verreauxi",,"species",,"A. Grandidier, 1867",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"95",,,,,,,,"Propithecus deckenii","Propithecus deckenii",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"deckenii",,"species",,"Peters, 1870",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"96",,,,,,,,"Propithecus coronatus","Propithecus coronatus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"coronatus",,"species",,"Milne-Edwards, 1871",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"97",,,,,,,,"Propithecus coquereli","Propithecus coquereli",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"coquereli",,"species",,"(A. Grandidier, 1867)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"98",,,,,,,,"Propithecus tattersalli","Propithecus tattersalli",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"tattersalli",,"species",,"Simons, 1988",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"99",,,,,,,,"Propithecus diadema","Propithecus diadema",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"diadema",,"species",,"Bennett, 1832",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"100",,,,,,,,"Propithecus edwardsi","Propithecus edwardsi",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"edwardsi",,"species",,"A. Grandidier, 1871",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"101",,,,,,,,"Propithecus candidus","Propithecus candidus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"candidus",,"species",,"A. Grandidier, 1871",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"102",,,,,,,,"Propithecus perrieri","Propithecus perrieri",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Propithecus","Animalia","Chordata","Mammalia","Primates","Indridae","Propithecus",,"perrieri",,"species",,"Lavauden, 1931",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"103",,,,,,,,"Indri indri","Indri indri",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;INDRIDAE;;Indri","Animalia","Chordata","Mammalia","Primates","Indridae","Indri",,"indri",,"species",,"(Gmelin, 1788)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"104",,,,,,,,"Daubentonia madagascariensis","Daubentonia madagascariensis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;DAUBENTONIIDAE;;Daubentonia","Animalia","Chordata","Mammalia","Primates","Daubentoniidae","Daubentonia",,"madagascariensis",,"species",,"(Gmelin, 1788)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"9",,,,,,,,"Microcebus sambiranensis","Microcebus sambiranensis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;CHEIROGALEIDAE;;Microcebus","Animalia","Chordata","Mammalia","Primates","Cheirogaleidae","Microcebus",,"sambiranensis",,"species",,"Rasoloarison et al., 2000",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"10",,,,,,,,"Microcebus mamiratra","Microcebus mamiratra",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;CHEIROGALEIDAE;;Microcebus","Animalia","Chordata","Mammalia","Primates","Cheirogaleidae","Microcebus",,"mamiratra",,"species",,"Andriantompohavana et al., 2006",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"11",,,,,,,,"Microcebus tavaratra","Microcebus tavaratra",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;CHEIROGALEIDAE;;Microcebus","Animalia","Chordata","Mammalia","Primates","Cheirogaleidae","Microcebus",,"tavaratra",,"species",,"Rasoloarison et al., 2000",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"12",,,,,,,,"Microcebus arnholdi","Microcebus arnholdi",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;CHEIROGALEIDAE;;Microcebus","Animalia","Chordata","Mammalia","Primates","Cheirogaleidae","Microcebus",,"arnholdi",,"species",,"Louis et al., 2008",,"ICZN",,,,,,,,,,
