Ta_Id,Id_Accepted,NomenclaturalCode,Kingdom,KingdomSource,Phylum,PhylumSource,SubPhylum,SubPhylumSource,Class,ClassSource,Subclass,SubclassSource,SuperOrder,SuperOrderSource,Order,OrderSource,Suborder,SuborderSource,InfraOrder,InfraOrderSource,SuperFamily,SuperfamilySource,Family,FamilySource,Subfamily,SubfamilySource,Genus,GenusSource,Subgenus,SubgenusSource,SpecificEpithet,SpecificEpithetSource,InfraspecificRank,InfraspecificEpithet,InfraspecificEpithetSource,AcceptedSpecies,VerbatimSpecies,VerbatimSpeciesSource,IsMarine,IsTerrestrial,Comments,ReviewedBy,ReviewDate,Notes,Status,ChangedBy,ChangeDate,Validation,ValidatedBy,ValidationDate,Stability
1307,2806,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,VERTNET,,,,,LEMURIDAE,VERTNET,,,Eulemur,VERTNET,,,cinereiceps,(A. Grandidier and Milne-Edwards 1890),,,,Eulemur cinereiceps,Eulemur albocollaris,,0,1,,Rodin Rasoloarison,10/3/2011,,,Andry Rakotomanjaka,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
1308,2806,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Eulemur,CHORDATA,http://en.wikipedia.org/wiki/Eulemur,,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,cinereiceps,(A. Grandidier and Milne-Edwards 1890),,,,Eulemur cinereiceps,Eulemur cinereiceps,(A. Grandidier and Milne-Edwards 1890),0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
1309,2806,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Eulemur,CHORDATA,http://en.wikipedia.org/wiki/Eulemur,,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,cinereiceps,(A. Grandidier and Milne-Edwards 1890),,,,Eulemur cinereiceps,Eulemur fulvus albocolaris,,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
1310,2807,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,collaris,(E. Geoffroy 1812),,,,Eulemur collaris,Eulemur collaris,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1311,2807,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,collaris,(E. Geoffroy 1812),,,,Eulemur collaris,Eulemur fulvus collaris,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1312,2808,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,coronatus,(Gray 1842),,,,Eulemur coronatus,Eulemur coronatus,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1313,2809,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Eulemur,CHORDATA,http://en.wikipedia.org/wiki/Eulemur,,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,flavifrons,(Gray 1867),,,,Eulemur flavifrons,Eulemur flavifrons,(Gray 1867),0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
1314,2809,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Eulemur,CHORDATA,http://en.wikipedia.org/wiki/Eulemur,,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,flavifrons,(Gray 1867),,,,Eulemur flavifrons,Eulemur macaco flavifrons,,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
1315,2810,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,fulvus,(E. Geoffroy 1796),,,,Eulemur fulvus,Eulemur fulvus,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1316,2810,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,fulvus,(E. Geoffroy 1796),,,,Eulemur fulvus,Eulemur fulvus fulvus,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1317,2811,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,macaco,(Linnaeus 1766),,,,Eulemur macaco,Eulemur macaco,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1318,2811,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,macaco,(Linnaeus 1766),,,,Eulemur macaco,Eulemur macaco macaco,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1319,2812,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,mongoz,(Linnaeus. 1766),,,,Eulemur mongoz,Eulemur mongoz,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1320,2813,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,rubriventer,(I. Geoffroy 1850),,,,Eulemur rubriventer,Eulemur rubriventer,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1321,2814,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Eulemur,CHORDATA,http://en.wikipedia.org/wiki/Eulemur,,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/EULEMUR,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,rufifrons,(Bennett 1833),,,,Eulemur rufifrons,Eulemur rufifrons,(Bennett 1833),0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
1322,2815,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,rufus,(Audebert 1799),,,,Eulemur rufus,Eulemur fulvus rufus,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1323,2815,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,rufus,(Audebert 1799),,,,Eulemur rufus,Eulemur rufus,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
1324,2816,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,LEMURIDAE,GRAY. 1821,,,Eulemur,Simons and Rumpler. 1988 True lemurs,,,sanfordi,(Archbold 1932),,,,Eulemur sanfordi,Eulemur fulvus sanfordi,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
