Scientific name,id,id_intl,Author,Phyllum,Embranchement,Sous-Embranchement,Classe,Sous-Classe,Infra-classe,Order,Sous-Ordre,Infra-Ordre,Super-Famille,Family,Sub family,Genus,Species,Sub species,English name,French name,Malagasy name,Comoros name
Microcebus rufus,13,,"(Lesson, 1840)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, rufus,,Brown mouse lemur,,Antsidy mena
Microcebus rufus,13,,"(Lesson, 1840)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, rufus,,Eastern rufous mouse lemur,,Tsisy
Microcebus rufus,13,,"(Lesson, 1840)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, rufus,,,,Tsitsidy
Microcebus rufus,13,,"(Lesson, 1840)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, rufus,,,,Tsitsihy
Microcebus jollyae,14,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, jollyae,,Jolly's mouse lemur,Microcèbe de Jolly,Tsidy an'i Jolly
Microcebus lehilahytsara,15,,"Roos and Kappeler, 2005 in Kappeler et al., 2005",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, lehilahytsara,,Goodman's mouse lemur,Microcèbe de Goodman,Tsidy an'i Goodman
Microcebus simmonsi,16,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,simmonsi,,Simmons' mouse lemur,Microcèbe de Simmons,Tsidy an'i Simmons
Microcebus macarthurii,17,,"Radespiel et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, macarthurii,,Anjiahely mouse lemur,Microcèbe d'Anjiahely,Kandrandra
Microcebus macarthurii,17,,"Radespiel et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, macarthurii,,MacArthur's mouse lemur,Microcèbe de MacArthur,
Microcebus mittermeieri,18,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,mittermeieri,,Mittermeier's mouse lemur,Microcèbe de Mittermeier,Tsidy an'i Mittermeier
Microcebus gerpi,19,,,ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, gerpi,,,,
Mirza coquereli,20,,"(A. Grandidier, 1867)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Mirza,coquereli,,Coquerel's giant mouse lemur,Microcèbe géant de Coquerel,Tsiba
Mirza coquereli,20,,"(A. Grandidier, 1867)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Mirza,coquereli,,Coquerel's dwarf lemur,,Tilitilivaha
Mirza coquereli,20,,"(A. Grandidier, 1867)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Mirza,coquereli,,Southern giant mouse lemur,,Siba (Morondava)
Mirza coquereli,20,,"(A. Grandidier, 1867)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Mirza,coquereli,,,,Setohy
Mirza zaza,21,,"Kappeler and Roos, 2005 in Kappeler et al., 2005",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Mirza, zaza,,Northern giant mouse lemur,Microcèbe géant du nord,Tanta
Mirza zaza,21,,"Kappeler and Roos, 2005 in Kappeler et al., 2005",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Mirza, zaza,,Northern dwarf lemur,,Fitily (North of Ambanja)
Allocebus trichotis,22,,"Günther, 1875",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Allocebus, trichotis,,Hairy-eared dwarf lemur,Allocèbe,
