"scientificName","acceptedNameUsage","kingdom","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","nomenclaturalCode","reviewed","reviewedBy","reviewDate","accepted","whyNotAccepted"
"Indri indri","Indri indri","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Indri",,"indri",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lemur catta","Lemur catta","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEMURIDAE",,"Lemur",,"catta",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur aeeclis","Lepilemur aeeclis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"aeeclis",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur ahmansonorum","Lepilemur ahmansonorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"ahmansonorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur ankaranensis","Lepilemur ankaranensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"ankaranensis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur betsileo","Lepilemur betsileo","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"betsileo",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur dorsalis","Lepilemur dorsalis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"dorsalis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur edwardsi","Lepilemur edwardsi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"edwardsi",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur fleuretae","Lepilemur fleuretae","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"fleuretae",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur grewcockorum","Lepilemur grewcockorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"grewcockorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur hollandorum","Lepilemur hollandorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"hollandorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur hubbardorum","Lepilemur hubbardorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"hubbardorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur jamesorum","Lepilemur jamesorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"jamesorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur leucopus","Lepilemur leucopus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"leucopus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur microdon","Lepilemur microdon","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"microdon",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur milanoii","Lepilemur milanoii","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"milanoii",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur mittermeieri","Lepilemur mittermeieri","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"mittermeieri",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur mustelinus","Lepilemur mustelinus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"mustelinus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur otto","Lepilemur otto","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"otto",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Lepilemur petteri","Lepilemur petteri","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"LEPILEMURIDAE",,"Lepilemur",,"petteri",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Lepilemur randrianasoloi","Lepilemur randrianasoloi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES","STREPSIRRHINI",,,"LEPILEMURIDAE",,"Lepilemur",,"randrianasoloi",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
